customer_id,region,segment,signup_date
CUST00001,South,Consumer,2022-04-13
CUST00002,Central,Home Office,2023-03-12
CUST00003,West,Consumer,2022-09-28
CUST00004,Central,Corporate,2022-04-17
CUST00005,North,Home Office,2022-03-13
CUST00006,West,Consumer,2023-12-02
CUST00007,Central,Consumer,2022-01-21
CUST00008,North,Consumer,2023-09-07
CUST00009,North,Consumer,2022-05-02
CUST00010,West,Consumer,2023-04-12
CUST00011,East,Corporate,2022-08-03
CUST00012,West,Consumer,2022-11-27
CUST00013,North,Consumer,2023-04-04
CUST00014,West,Home Office,2022-03-29
CUST00015,North,Corporate,2023-01-08
CUST00016,North,Corporate,2022-04-10
CUST00017,North,Consumer,2023-10-26
CUST00018,West,Corporate,2022-05-11
CUST00019,West,Consumer,2023-10-24
CUST00020,East,Consumer,2022-11-05
CUST00021,South,Consumer,2022-12-10
CUST00022,Central,Home Office,2023-05-07
CUST00023,South,Consumer,2023-02-18
CUST00024,West,Consumer,2023-01-21
CUST00025,East,Consumer,2022-07-11
CUST00026,South,Consumer,2022-10-04
CUST00027,East,Corporate,2022-06-10
CUST00028,South,Corporate,2023-04-05
CUST00029,West,Corporate,2022-11-10
CUST00030,East,Consumer,2022-01-22
CUST00031,South,Consumer,2022-09-10
CUST00032,Central,Consumer,2023-07-15
CUST00033,South,Consumer,2023-04-20
CUST00034,East,Consumer,2022-02-28
CUST00035,Central,Corporate,2023-05-26
CUST00036,West,Consumer,2023-11-13
CUST00037,North,Consumer,2023-04-21
CUST00038,Central,Consumer,2023-12-01
CUST00039,West,Consumer,2022-07-09
CUST00040,South,Consumer,2023-11-18
CUST00041,North,Home Office,2023-07-17
CUST00042,West,Corporate,2023-07-21
CUST00043,West,Home Office,2022-09-01
CUST00044,East,Consumer,2023-05-20
CUST00045,Central,Consumer,2022-05-11
CUST00046,West,Consumer,2023-04-30
CUST00047,North,Consumer,2023-10-09
CUST00048,South,Corporate,2022-01-21
CUST00049,South,Consumer,2022-06-16
CUST00050,West,Consumer,2022-10-01
CUST00051,North,Consumer,2023-01-23
CUST00052,East,Consumer,2023-08-24
CUST00053,West,Corporate,2022-11-12
CUST00054,Central,Consumer,2022-01-14
CUST00055,South,Consumer,2022-08-30
