customer_id,recency,frequency,monetary,segment,churned
CUST00001,107,3,377.77,At Risk,0
CUST00005,108,4,1528.98,Potential Loyalists,0
CUST00006,42,6,2052.49,Loyal Customers,0
CUST00007,267,1,398.74,At Risk,1
CUST00008,6,23,3717.52,Champions,0
CUST00009,10,7,784.91,Loyal Customers,0
CUST00011,559,1,25.9,At Risk,1
CUST00012,15,10,3891.14,Champions,0
CUST00014,348,2,243.47000000000003,At Risk,1
CUST00015,17,10,1931.19,Loyal Customers,0
CUST00016,4,4,1038.25,Loyal Customers,0
CUST00017,47,10,1903.65,Loyal Customers,0
CUST00018,93,4,1643.47,Potential Loyalists,0
CUST00020,250,1,915.9,At Risk,1
CUST00021,361,1,72.67,At Risk,1
CUST00022,321,3,253.69000000000003,At Risk,1
CUST00024,22,13,1722.58,Champions,0
CUST00025,4,33,5230.94,Champions,0
CUST00026,218,6,477.59000000000003,At Risk,1
CUST00027,5,11,1810.73,Champions,0
CUST00029,30,19,3625.78,Champions,0
CUST00031,15,13,2789.92,Champions,0
CUST00032,1,29,7953.889999999999,Champions,0
CUST00033,11,7,900.3100000000001,Loyal Customers,0
CUST00034,2,32,9353.6,Champions,0
CUST00035,71,4,239.35999999999999,At Risk,0
CUST00037,7,5,626.4599999999999,Loyal Customers,0
CUST00038,4,11,2283.09,Champions,0
CUST00039,190,2,751.48,At Risk,1
CUST00040,128,2,274.22,At Risk,1
CUST00041,4,27,4867.36,Champions,0
CUST00043,17,11,3781.83,Champions,0
CUST00044,99,8,756.83,Potential Loyalists,0
CUST00045,5,21,3303.84,Champions,0
CUST00046,5,18,2682.46,Champions,0
CUST00047,95,6,800.96,Potential Loyalists,0
CUST00048,37,21,5594.28,Champions,0
CUST00049,11,7,2237.47,Champions,0
CUST00050,183,1,341.18,At Risk,1
CUST00051,100,7,1846.19,Loyal Customers,0
CUST00052,10,11,2016.2,Champions,0
CUST00053,278,1,398.77,At Risk,1
CUST00054,4,11,1296.85,Champions,0
CUST00055,15,10,2014.71,Loyal Customers,0
CUST00056,391,1,190.06,At Risk,1
CUST00057,16,9,1853.96,Loyal Customers,0
CUST00058,49,8,2169.44,Champions,0
CUST00059,251,2,114.78,At Risk,1
CUST00062,349,1,49.06,At Risk,1
CUST00063,1,23,3380.34,Champions,0
CUST00064,269,2,138.10999999999999,At Risk,1
CUST00065,276,9,1405.0,Potential Loyalists,1
CUST00066,184,2,829.26,At Risk,1
CUST00067,265,1,407.88,At Risk,1
CUST00068,183,8,914.37,Potential Loyalists,1
CUST00069,169,11,1464.43,Loyal Customers,1
CUST00070,339,1,133.16,At Risk,1
CUST00071,31,6,1313.1200000000001,Loyal Customers,0
CUST00073,175,5,891.05,At Risk,1
CUST00074,10,9,1866.3899999999999,Champions,0
CUST00076,47,3,192.42000000000002,Potential Loyalists,0
CUST00077,79,3,747.48,Potential Loyalists,0
CUST00078,141,13,1185.48,Loyal Customers,1
CUST00079,58,34,5766.26,Champions,0
CUST00081,13,9,2341.75,Champions,0
CUST00082,64,2,341.71000000000004,At Risk,0
CUST00083,30,6,730.84,Potential Loyalists,0
CUST00084,16,12,2159.01,Champions,0
CUST00085,16,18,3986.4100000000003,Champions,0
CUST00086,141,15,2706.06,Champions,1
CUST00087,78,6,897.86,Potential Loyalists,0
CUST00088,39,5,980.8199999999999,Potential Loyalists,0
CUST00089,375,6,739.8100000000001,At Risk,1
CUST00090,306,2,161.01999999999998,At Risk,1
CUST00091,52,5,1238.73,Potential Loyalists,0
CUST00092,13,5,2496.91,Champions,0
CUST00093,325,7,1304.02,Potential Loyalists,1
CUST00094,10,2,161.05,Potential Loyalists,0
CUST00096,9,27,4979.27,Champions,0
CUST00097,176,1,46.81,At Risk,1
CUST00098,12,6,1388.82,Loyal Customers,0
CUST00099,135,2,635.88,At Risk,1
CUST00102,194,1,11.6,At Risk,1
CUST00103,4,8,3370.86,Champions,0
CUST00104,96,3,868.98,Potential Loyalists,0
CUST00105,171,20,3698.63,Loyal Customers,1
CUST00106,20,8,2300.5,Champions,0
CUST00107,1,3,618.68,Loyal Customers,0
CUST00108,60,3,701.47,Potential Loyalists,0
CUST00109,20,6,1814.33,Loyal Customers,0
CUST00110,40,9,1791.88,Loyal Customers,0
