order_id,product_id,quantity,discount,line_total
ORD000001,P0007,1,0.0,110.75
ORD000001,P0002,2,0.05,222.85
ORD000001,P0010,1,0.0,336.91
ORD000002,P0016,2,0.1,57.44
ORD000003,P0016,1,0.05,30.31
ORD000004,P0009,1,0.05,177.54
ORD000004,P0012,3,0.0,69.45
ORD000005,P0010,1,0.0,336.91
ORD000005,P0005,1,0.15,53.63
ORD000006,P0009,1,0.15,158.85
ORD000007,P0004,1,0.0,97.24
ORD000008,P0008,1,0.05,180.56
ORD000009,P0006,1,0.0,46.81
ORD000009,P0013,1,0.0,5.8
ORD000009,P0008,1,0.05,180.56
ORD000009,P0021,1,0.0,24.53
ORD000010,P0009,3,0.05,532.61
ORD000010,P0021,1,0.1,22.08
ORD000010,P0008,1,0.15,161.55
ORD000010,P0022,1,0.05,51.78
ORD000011,P0002,1,0.05,111.43
ORD000012,P0001,2,0.0,92.96
ORD000012,P0010,1,0.0,336.91
ORD000013,P0003,1,0.0,17.48
ORD000013,P0015,1,0.0,8.21
ORD000013,P0001,2,0.05,88.31
ORD000014,P0012,2,0.2,37.04
ORD000014,P0021,1,0.0,24.53
ORD000015,P0007,1,0.1,99.68
ORD000015,P0015,1,0.05,7.8
ORD000016,P0003,2,0.0,34.96
ORD000016,P0021,2,0.05,46.61
ORD000017,P0001,2,0.2,74.37
ORD000017,P0003,1,0.0,17.48
ORD000018,P0020,1,0.0,27.26
ORD000018,P0017,2,0.05,16.04
ORD000018,P0002,1,0.0,117.29
ORD000018,P0019,2,0.0,87.42
ORD000019,P0012,3,0.0,69.45
ORD000020,P0007,2,0.15,188.28
ORD000021,P0009,1,0.05,177.54
ORD000022,P0016,1,0.1,28.72
ORD000023,P0012,1,0.0,23.15
ORD000023,P0015,1,0.05,7.8
ORD000023,P0008,1,0.05,180.56
ORD000024,P0012,1,0.0,23.15
ORD000025,P0014,2,0.05,21.55
ORD000026,P0021,1,0.15,20.85
ORD000026,P0008,1,0.15,161.55
ORD000027,P0022,1,0.05,51.78
ORD000027,P0002,1,0.0,117.29
ORD000028,P0020,1,0.0,27.26
ORD000028,P0007,2,0.0,221.5
ORD000028,P0003,1,0.0,17.48
ORD000029,P0002,1,0.1,105.56
ORD000029,P0008,1,0.05,180.56
ORD000029,P0014,1,0.0,11.34
ORD000030,P0004,3,0.1,262.55
ORD000030,P0017,2,0.05,16.04
ORD000030,P0012,1,0.0,23.15
ORD000030,P0010,1,0.1,303.22
ORD000031,P0017,1,0.05,8.02
ORD000032,P0022,1,0.05,51.78
ORD000033,P0001,2,0.15,79.02
ORD000034,P0016,1,0.0,31.91
ORD000035,P0015,1,0.0,8.21
ORD000036,P0014,1,0.1,10.21
ORD000037,P0013,2,0.1,10.44
ORD000038,P0006,1,0.15,39.79
ORD000039,P0013,1,0.05,5.51
ORD000040,P0015,1,0.05,7.8
ORD000040,P0004,1,0.0,97.24
ORD000040,P0018,1,0.15,35.53
ORD000040,P0008,2,0.1,342.11
ORD000041,P0012,3,0.15,59.03
ORD000041,P0005,2,0.0,126.18
ORD000041,P0016,3,0.0,95.73
ORD000042,P0016,2,0.2,51.06
ORD000043,P0014,1,0.1,10.21
ORD000043,P0019,3,0.15,111.46
ORD000044,P0013,3,0.05,16.53
ORD000044,P0009,3,0.15,476.54
ORD000044,P0012,1,0.0,23.15
ORD000045,P0016,1,0.0,31.91
ORD000046,P0013,3,0.1,15.66
ORD000046,P0012,2,0.0,46.3
ORD000046,P0018,1,0.0,41.8
ORD000047,P0014,1,0.05,10.77
ORD000047,P0003,1,0.15,14.86
ORD000048,P0017,1,0.0,8.44
ORD000048,P0013,1,0.1,5.22
ORD000048,P0009,1,0.1,168.19
ORD000049,P0016,1,0.1,28.72
ORD000049,P0021,3,0.1,66.23
ORD000049,P0005,1,0.0,63.09
ORD000049,P0012,1,0.1,20.84
ORD000050,P0015,1,0.0,8.21
ORD000051,P0007,1,0.2,88.6
ORD000051,P0013,3,0.0,17.4
ORD000052,P0011,3,0.1,765.21
ORD000052,P0022,1,0.05,51.78
ORD000052,P0018,3,0.05,119.13
ORD000053,P0006,1,0.0,46.81
ORD000053,P0014,1,0.15,9.64
ORD000053,P0018,2,0.0,83.6
ORD000054,P0013,1,0.0,5.8
ORD000055,P0012,1,0.0,23.15
ORD000055,P0006,2,0.0,93.62
ORD000056,P0005,1,0.1,56.78
ORD000057,P0020,3,0.1,73.6
ORD000057,P0018,3,0.0,125.4
ORD000058,P0018,1,0.1,37.62
ORD000058,P0015,2,0.2,13.14
ORD000058,P0003,1,0.0,17.48
ORD000058,P0005,1,0.0,63.09
ORD000059,P0014,2,0.0,22.68
ORD000060,P0004,2,0.1,175.03
ORD000061,P0019,1,0.0,43.71
ORD000061,P0011,1,0.0,283.41
ORD000062,P0017,2,0.0,16.88
ORD000062,P0003,1,0.05,16.61
ORD000062,P0022,1,0.0,54.51
ORD000063,P0008,1,0.0,190.06
ORD000064,P0009,1,0.0,186.88
ORD000065,P0021,1,0.0,24.53
ORD000065,P0004,1,0.2,77.79
ORD000066,P0021,3,0.1,66.23
ORD000066,P0017,1,0.0,8.44
ORD000067,P0003,1,0.0,17.48
ORD000068,P0021,3,0.0,73.59
ORD000068,P0017,1,0.0,8.44
ORD000068,P0015,1,0.0,8.21
ORD000069,P0021,1,0.1,22.08
ORD000069,P0010,1,0.0,336.91
ORD000069,P0019,1,0.0,43.71
ORD000070,P0020,3,0.1,73.6
ORD000071,P0021,1,0.1,22.08
ORD000071,P0011,1,0.0,283.41
ORD000072,P0008,2,0.0,380.12
ORD000072,P0003,2,0.2,27.97
ORD000072,P0011,1,0.0,283.41
ORD000073,P0007,1,0.15,94.14
ORD000074,P0004,1,0.0,97.24
ORD000074,P0002,1,0.15,99.7
ORD000075,P0011,2,0.0,566.82
ORD000075,P0018,2,0.2,66.88
ORD000075,P0005,1,0.15,53.63
ORD000075,P0010,1,0.0,336.91
ORD000076,P0013,1,0.0,5.8
ORD000076,P0006,2,0.0,93.62
ORD000077,P0009,2,0.0,373.76
ORD000078,P0003,1,0.0,17.48
ORD000079,P0001,1,0.05,44.16
ORD000079,P0019,2,0.0,87.42
ORD000079,P0016,1,0.15,27.12
ORD000080,P0014,1,0.2,9.07
ORD000081,P0018,2,0.0,83.6
ORD000082,P0004,1,0.15,82.65
ORD000083,P0014,1,0.1,10.21
ORD000083,P0016,2,0.1,57.44
ORD000084,P0010,1,0.0,336.91
ORD000084,P0019,1,0.15,37.15
ORD000084,P0012,1,0.0,23.15
ORD000085,P0019,1,0.0,43.71
ORD000086,P0010,2,0.05,640.13
ORD000086,P0016,1,0.0,31.91
ORD000086,P0009,1,0.05,177.54
ORD000087,P0013,1,0.0,5.8
ORD000087,P0008,1,0.0,190.06
ORD000088,P0012,1,0.0,23.15
ORD000089,P0022,1,0.0,54.51
ORD000089,P0002,2,0.1,211.12
ORD000090,P0017,1,0.1,7.6
ORD000091,P0012,1,0.1,20.84
ORD000091,P0014,1,0.15,9.64
ORD000091,P0011,1,0.05,269.24
ORD000092,P0008,1,0.15,161.55
ORD000092,P0006,1,0.05,44.47
ORD000093,P0002,1,0.0,117.29
ORD000094,P0008,3,0.2,456.14
ORD000095,P0006,1,0.05,44.47
ORD000095,P0010,1,0.15,286.37
ORD000095,P0017,1,0.0,8.44
ORD000096,P0001,3,0.0,139.44
ORD000097,P0022,1,0.0,54.51
ORD000097,P0011,1,0.0,283.41
ORD000098,P0019,1,0.05,41.52
ORD000098,P0004,1,0.0,97.24
ORD000098,P0017,1,0.15,7.17
ORD000099,P0001,1,0.0,46.48
ORD000099,P0016,1,0.15,27.12
ORD000100,P0004,2,0.05,184.76
ORD000100,P0012,1,0.0,23.15
ORD000100,P0006,1,0.1,42.13
ORD000101,P0008,1,0.1,171.05
ORD000101,P0003,1,0.0,17.48
ORD000102,P0004,1,0.15,82.65
ORD000102,P0013,2,0.0,11.6
ORD000102,P0016,1,0.0,31.91
ORD000103,P0015,3,0.0,24.63
ORD000103,P0022,2,0.05,103.57
ORD000104,P0001,1,0.0,46.48
ORD000105,P0014,3,0.0,34.02
ORD000105,P0009,3,0.0,560.64
ORD000106,P0014,1,0.05,10.77
ORD000106,P0001,1,0.1,41.83
ORD000107,P0008,1,0.0,190.06
ORD000107,P0010,2,0.0,673.82
ORD000108,P0006,1,0.05,44.47
ORD000109,P0016,3,0.05,90.94
ORD000109,P0020,1,0.1,24.53
ORD000109,P0006,1,0.0,46.81
ORD000110,P0021,1,0.0,24.53
ORD000111,P0021,1,0.0,24.53
ORD000111,P0013,2,0.15,9.86
ORD000112,P0003,1,0.0,17.48
ORD000112,P0018,2,0.05,79.42
ORD000113,P0001,1,0.1,41.83
ORD000113,P0003,1,0.0,17.48
ORD000113,P0013,1,0.15,4.93
ORD000113,P0009,2,0.0,373.76
ORD000114,P0013,1,0.0,5.8
ORD000115,P0016,1,0.05,30.31
ORD000115,P0006,1,0.0,46.81
ORD000115,P0020,3,0.0,81.78
ORD000116,P0009,2,0.05,355.07
ORD000117,P0003,2,0.0,34.96
ORD000117,P0012,1,0.0,23.15
ORD000117,P0007,1,0.0,110.75
ORD000117,P0017,3,0.1,22.79
ORD000118,P0022,1,0.0,54.51
ORD000118,P0004,1,0.0,97.24
ORD000119,P0007,1,0.15,94.14
ORD000119,P0017,3,0.05,24.05
ORD000119,P0021,1,0.0,24.53
ORD000120,P0020,1,0.0,27.26
ORD000120,P0007,3,0.0,332.25
ORD000121,P0010,1,0.05,320.06
ORD000122,P0020,3,0.0,81.78
ORD000123,P0021,1,0.05,23.3
ORD000124,P0006,1,0.05,44.47
ORD000124,P0010,2,0.05,640.13
ORD000124,P0003,1,0.15,14.86
ORD000125,P0002,1,0.0,117.29
ORD000125,P0004,1,0.1,87.52
ORD000126,P0012,1,0.0,23.15
ORD000127,P0022,1,0.0,54.51
ORD000127,P0019,1,0.05,41.52
ORD000127,P0017,1,0.0,8.44
ORD000128,P0013,1,0.05,5.51
ORD000128,P0003,1,0.1,15.73
ORD000129,P0005,1,0.05,59.94
ORD000130,P0020,2,0.0,54.52
ORD000130,P0003,1,0.05,16.61
ORD000131,P0022,2,0.05,103.57
ORD000132,P0010,3,0.0,1010.73
ORD000132,P0019,1,0.0,43.71
ORD000132,P0008,1,0.15,161.55
ORD000132,P0012,1,0.05,21.99
ORD000133,P0021,2,0.2,39.25
ORD000133,P0022,1,0.0,54.51
ORD000134,P0002,3,0.15,299.09
ORD000134,P0020,1,0.0,27.26
ORD000135,P0002,1,0.0,117.29
ORD000136,P0007,3,0.0,332.25
ORD000136,P0004,1,0.0,97.24
ORD000136,P0017,2,0.0,16.88
ORD000137,P0013,1,0.0,5.8
ORD000137,P0005,1,0.0,63.09
ORD000138,P0014,1,0.05,10.77
ORD000139,P0007,1,0.1,99.68
ORD000140,P0015,1,0.15,6.98
ORD000141,P0008,1,0.0,190.06
ORD000142,P0006,2,0.1,84.26
ORD000142,P0022,2,0.0,109.02
