month,revenue,orders,active_customers
2023-01,30574.94,141,109
2023-02,27041.420000000002,133,108
2023-03,29585.61,142,105
2023-04,33223.76,161,128
2023-05,34330.22,177,140
2023-06,35134.74,200,164
2023-07,43551.63,213,177
2023-08,46622.44,230,182
2023-09,39780.2,218,178
2023-10,58781.94,299,225
2023-11,60481.56,255,199
2023-12,118866.46,605,372
2024-01,65507.26,334,242
2024-02,59400.88,289,214
2024-03,70685.84,314,224
2024-04,57914.06,289,222
2024-05,54462.77,279,215
2024-06,49620.12,259,204
2024-07,58333.67,309,236
2024-08,65180.57,319,237
2024-09,52737.55,269,217
2024-10,64164.18,298,238
2024-11,52858.26,263,204
2024-12,128007.1,604,377
